location,time,time_epoch,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,hour
Bhutan,2023-03-01 00:00,1677607200,0.9,33.6,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.4,309,NW,1024.0,30.23,0.0,0.0,80,16,-0.7,30.7,-0.7,30.7,0.9,33.6,-2.1,28.2,0,0,0,0,10.0,6.0,6.3,10.1,1.0,0
Bhutan,2023-03-01 01:00,1677610800,0.4,32.7,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.5,299,WNW,1024.0,30.23,0.0,0.0,80,15,-1.4,29.5,-1.4,29.5,0.4,32.7,-2.6,27.3,0,0,0,0,10.0,6.0,6.7,10.8,1.0,1
Bhutan,2023-03-01 02:00,1677614400,-0.2,31.7,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.5,5.6,288,WNW,1024.0,30.22,0.0,0.0,81,15,-2.0,28.3,-2.0,28.3,-0.2,31.7,-3.1,26.4,0,0,0,0,10.0,6.0,7.2,11.5,1.0,2
Bhutan,2023-03-01 03:00,1677618000,-0.7,30.7,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.6,5.8,277,W,1023.0,30.22,0.0,0.0,81,14,-2.7,27.1,-2.7,27.1,-0.7,30.7,-3.6,25.5,0,0,0,0,10.0,6.0,7.6,12.2,1.0,3
Bhutan,2023-03-01 04:00,1677621600,-0.9,30.4,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.8,6.1,279,W,1024.0,30.23,0.0,0.0,80,13,-3.1,26.4,-3.1,26.4,-0.9,30.4,-4.0,24.9,0,0,0,0,10.0,6.0,8.1,13.0,1.0,4
Bhutan,2023-03-01 05:00,1677625200,-1.1,30.0,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,6.5,280,W,1024.0,30.24,0.0,0.0,79,13,-3.5,25.7,-3.5,25.7,-1.1,30.0,-4.3,24.2,0,0,0,0,10.0,6.0,8.5,13.7,1.0,5
Bhutan,2023-03-01 06:00,1677628800,-1.3,29.7,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,6.8,281,WNW,1025.0,30.25,0.0,0.0,78,12,-3.9,25.0,-3.9,25.0,-1.3,29.7,-4.7,23.5,0,0,0,0,10.0,6.0,8.9,14.4,1.0,6
Bhutan,2023-03-01 07:00,1677632400,1.4,34.5,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.5,5.6,228,SW,1024.0,30.24,0.0,0.0,67,9,-0.3,31.5,-0.3,31.5,1.4,34.5,-4.4,24.1,0,0,0,0,10.0,6.0,6.7,10.8,2.0,7
Bhutan,2023-03-01 08:00,1677636000,4.1,39.4,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",2.8,4.4,174,S,1024.0,30.23,0.0,0.0,57,7,3.3,37.9,3.3,37.9,4.1,39.4,-4.1,24.6,0,0,0,0,10.0,6.0,4.5,7.2,2.0,8
Bhutan,2023-03-01 09:00,1677639600,6.8,44.2,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",2.0,3.2,120,ESE,1023.0,30.21,0.0,0.0,47,5,6.9,44.4,6.9,44.4,6.8,44.2,-3.8,25.2,0,0,0,0,10.0,6.0,2.2,3.6,3.0,9
